DATE,POTATO,ONION,CARROT,BRINJAL,TOMATO,BITTERGOURD,RADDISH,CAULIFLOWER,BEANS,DRUMSTICK
01-Jun,15,5,2,6,15,3,3,1,2,1
02-Jun,15,3,2,5,16,2,3,1,2,1
03-Jun,19,4,2,4,13,2,3,1,2,1
04-Jun,20,3,2,4,13,1,3,1,2,2
05-Jun,22,4,2,5,15,1,3,1,2,2
06-Jun,15,3,3,7,18,1,3,1,2,1
07-Jun,15,5,5,10,14,2,4,1,2,3
08-Jun,17,5,7,14,10,3,4,1,2,4
09-Jun,18,4,10,8,9,5,4,1,2,3
10-Jun,22,3,10,8,8,6,4,1,2,3
11-Jun,16,7,7,9,9,6,4,1,2,3
12-Jun,16,4,7,7,10,5,5,1,2,2
13-Jun,18,4,5,8,9,4,5,1,2,3
14-Jun,20,3,5,8,10,3,5,1,2,3
15-Jun,23,5,3,10,10,2,4,1,2,3
16-Jun,19,3,5,8,9,2,5,1,2,5
17-Jun,20,2,3,10,9,2,5,1,2,7
18-Jun,22,2,5,11,10,2,5,1,2,9
19-Jun,23,1,6,12,10,3,4,1,2,8
20-Jun,27,1,9,10,10,3,5,1,2,8
21-Jun,22,1,12,11,9,6,5,1,2,5
22-Jun,23,2,13,12,11,7,5,1,2,5
23-Jun,25,3,10,14,12,8,5,1,2,6
24-Jun,27,5,11,12,11,4,5,1,3,5
25-Jun,30,6,8,13,11,5,6,1,2,5
26-Jun,23,3,9,4,12,2,6,1,3,5
27-Jun,25,3,10,4,12,2,5,1,3,4
28-Jun,28,3,10,3,11,2,5,1,3,8
29-Jun,30,3,9,5,10,2,5,2,3,8
30-Jun,34,3,9,6,11,2,5,1,3,8
01-Jul,24,3,10,4,10,3,5,1,3,12
02-Jul,27,3,10,6,10,5,5,1,3,8
03-Jul,27,3,10,5,8,7,6,2,3,9
04-Jul,31,3,9,6,9,10,5,2,3,10
05-Jul,34,3,11,6,9,10,5,1,3,8
06-Jul,25,3,12,9,9,7,5,1,3,7
07-Jul,28,3,11,5,8,7,6,1,3,5
08-Jul,30,3,11,7,9,5,7,1,3,4
09-Jul,33,3,12,7,10,5,6,2,3,3
10-Jul,33,3,12,9,9,3,7,1,3,9
11-Jul,25,3,11,7,8,5,7,1,3,14
12-Jul,28,3,10,9,10,3,7,2,3,18
13-Jul,31,3,11,8,10,5,6,2,3,12
14-Jul,33,3,10,9,9,6,7,2,3,13
15-Jul,32,3,10,12,9,9,8,2,3,13
16-Jul,24,3,8,8,10,12,7,2,3,14
17-Jul,27,3,9,14,10,13,6,2,3,10
18-Jul,30,3,9,10,10,10,8,2,3,7
19-Jul,33,3,9,12,11,11,8,2,3,8
20-Jul,30,3,7,13,11,8,7,1,3,12
21-Jul,20,3,7,11,10,6,7,2,3,8
22-Jul,22,3,6,10,11,5,8,1,3,15
23-Jul,25,3,7,11,11,4,8,1,3,18
24-Jul,29,3,8,11,9,4,8,2,3,25
25-Jul,23,3,7,9,7,5,7,2,3,23
26-Jul,16,3,6,7,9,7,8,2,3,25
27-Jul,19,3,8,9,10,10,8,2,3,16
28-Jul,21,3,8,10,9,14,8,2,3,18
29-Jul,25,3,7,9,9,15,8,2,3,25
30-Jul,21,3,7,9,10,13,9,2,3,20
