DATE,Gs1,Gs2,Gs3,Ls1,Ls2,Ls3,Ks1,Ks2,Ks3,Ks4,,,
Jun-16,15,25,4,6,15,24,24,7,18,8,,,
Jul-16,15,15,4,5,16,16,24,10,14,8,,,
Aug-16,19,20,4,4,13,16,24,14,10,8,,,
Sep-16,20,15,4,4,13,8,24,8,9,16,,,
Oct-16,22,20,4,5,15,8,24,8,8,16,,,8
Nov-16,15,15,6,7,18,8,24,9,9,8,,,
Dec-16,15,25,10,10,14,16,32,7,10,24,,,
Jan-17,17,25,14,14,10,24,15,24,9,32,,,
Feb-17,18,20,20,8,9,40,16,16,10,24,,,
Mar-17,22,15,20,8,8,48,13,16,10,24,,,
Apr-17,16,35,14,9,9,48,13,8,9,24,,,
May-17,16,20,14,7,10,40,15,8,9,16,,,
Jun-17,18,20,10,8,9,32,18,8,15,24,,,
Jul-17,20,15,10,8,10,24,14,16,25,24,,,
Aug-17,23,25,6,10,10,16,10,24,25,24,,,
Sep-17,19,15,10,8,9,16,9,40,20,40,,,
Oct-17,20,10,6,10,9,16,8,48,15,56,,,
Nov-17,22,10,10,11,10,16,9,48,35,72,,,
Dec-17,23,5,12,12,10,24,10,40,20,64,,,
Jan-18,27,5,18,10,10,24,9,32,20,64,,,
Feb-18,22,5,24,11,9,48,10,24,15,40,,,
Mar-18,23,10,26,12,11,56,10,16,25,40,,,
Apr-18,25,15,20,14,12,64,9,16,15,48,,,
May-18,27,25,22,12,11,32,40,20,10,40,,,
,,,,,,,,,,,,,
