Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
12-Dec,90,180,23,11,194,240,229,227,86,54,41,44,49,58,56,33,75,103,138,25,85,8,8,7,203,11
13-Jan,128,179,17,4,105,92,149,154,55,30,35,41,64,64,59,16,45,96,120,21,90,8,8,7,220,15
13-Feb,117,181,19,3,135,68,129,110,48,38,33,37,58,60,54,12,36,98,121,20,84,9,9,8,144,15
13-Mar,124,182,29,6,221,96,165,106,92,69,52,33,51,54,46,12,50,101,111,17,91,10,10,10,158,16
13-Apr,109,186,22,6,176,87,124,76,76,106,53,25,43,39,33,6,70,104,109,18,88,10,11,10,212,20
13-May,99,189,26,8,93,89,137,63,111,164,71,24,40,42,32,6,26,109,113,20,87,11,12,10,253,24
13-Jun,101,178,33,11,99,94,147,56,136,172,84,26,45,44,33,6,36,129,121,21,90,11,12,10,159,25
13-Jul,128,185,29,9,71,76,139,65,110,143,68,26,47,42,34,6,48,201,160,27,111,11,12,11,171,27
13-Aug,122,188,29,9,184,90,212,80,95,137,84,31,52,51,37,9,54,121,110,21,90,10,11,9,228,33
13-Sep,116,187,26,7,222,62,230,106,88,95,67,30,51,49,39,9,81,117,103,18,86,10,11,9,275,38
13-Oct,123,187,24,6,179,56,235,122,82,60,52,35,63,56,51,10,91,120,121,21,85,11,11,10,179,35
13-Nov,123,186,27,8,155,136,400,237,119,68,61,34,47,47,53,18,100,106,125,22,84,11,11,10,195,45
13-Dec,108,186,28,11,154,207,395,277,124,58,60,44,50,59,60,31,76,110,137,22,87,10,11,9,236,57
14-Jan,102,186,17,6,87,96,229,143,67,37,44,42,67,66,60,16,46,109,114,19,76,9,10,8,282,69
14-Feb,145,188,19,6,81,60,164,80,44,40,41,37,58,60,55,13,37,108,115,20,81,9,10,9,178,77
14-Mar,108,187,26,8,146,55,180,88,88,69,54,34,52,56,49,13,52,109,105,15,90,10,10,9,194,87
14-Apr,124,190,21,7,139,65,158,58,79,90,55,25,44,40,35,6,71,115,104,16,89,8,9,8,250,89
14-May,107,194,25,9,257,72,190,56,107,126,73,24,40,39,31,5,27,128,114,19,91,8,8,7,304,94
14-Jun,131,181,30,9,305,115,197,57,174,140,86,27,46,45,35,6,38,137,112,18,95,8,8,7,199,73
14-Jul,110,188,26,8,284,70,142,71,135,125,72,27,48,43,35,6,49,214,154,24,115,7,7,7,210,64
14-Aug,148,192,31,8,265,66,192,106,137,121,70,28,47,47,35,8,56,129,106,21,96,6,6,7,281,59
14-Sep,139,189,25,6,224,58,220,123,117,78,52,32,53,51,37,10,82,121,91,17,87,6,6,6,355,55
14-Oct,120,190,21,6,146,45,293,149,97,48,39,37,66,56,48,10,93,132,114,18,86,6,6,7,234,45
14-Nov,112,188,25,8,192,139,605,244,131,56,51,38,52,51,54,20,101,117,134,22,93,7,7,7,244,46
14-Dec,152,188,25,9,186,168,583,251,119,46,49,48,58,64,59,33,78,115,131,21,100,6,6,6,297,48
15-Jan,129,189,15,4,113,73,355,145,73,31,39,45,70,68,62,18,48,112,115,18,95,6,6,6,373,49
15-Feb,118,189,19,4,131,52,199,98,75,38,35,41,66,64,56,14,39,118,117,18,98,6,6,6,225,41
15-Mar,145,190,22,6,172,42,252,81,93,61,45,35,53,55,49,12,54,115,100,17,101,7,7,7,239,42
15-Apr,127,194,19,6,209,71,220,77,81,92,53,27,47,42,36,6,91,125,101,15,100,7,7,7,299,46
15-May,105,197,24,10,305,76,267,66,117,132,72,25,42,42,32,6,29,130,115,20,105,7,7,7,373,51
15-Jun,137,187,29,10,304,88,277,80,141,142,79,29,48,48,37,6,40,131,118,19,101,7,7,7,240,44
15-Jul,156,192,27,13,295,84,202,88,129,128,65,29,51,46,37,7,51,225,161,25,123,8,8,8,249,44
15-Aug,118,195,29,10,279,72,248,99,121,123,70,31,51,50,38,8,58,128,107,20,101,8,8,8,329,48
15-Sep,139,194,25,9,237,52,256,117,113,88,60,33,54,52,41,10,84,123,91,17,94,8,8,7,379,53
15-Oct,143,194,21,7,147,51,468,195,103,51,45,36,61,56,51,11,95,132,116,18,94,8,8,8,238,45
15-Nov,123,192,24,9,177,147,963,303,129,59,58,38,52,52,51,20,103,116,126,21,95,8,8,7,264,47
15-Dec,133,192,24,12,178,204,1035,286,127,52,55,48,58,64,61,32,79,108,128,20,95,7,8,7,330,51
16-Jan,135,192,14,4,109,85,575,202,81,28,45,47,71,70,65,19,49,113,115,17,92,7,7,6,414,55
16-Feb,130,192,17,6,110,57,259,135,53,32,42,45,69,69,62,18,41,114,121,19,95,6,6,6,244,43
16-Mar,126,194,23,7,180,58,242,114,74,55,48,37,56,55,52,12,56,110,103,17,96,7,7,7,268,44
16-Apr,141,197,21,7,164,71,168,80,58,83,48,29,48,44,39,8,76,119,105,16,94,6,6,6,339,50
16-May,126,201,24,9,271,72,168,91,92,121,58,27,44,43,35,6,30,121,114,20,94,6,6,5,393,61
16-Jun,160,192,31,11,325,87,245,101,128,139,71,31,51,49,39,7,42,138,120,19,92,6,6,5,254,47
16-Jul,129,197,27,10,292,68,241,103,122,126,68,30,51,47,38,7,54,226,157,25,115,6,6,6,294,47
16-Aug,151,198,31,11,332,75,310,159,102,124,74,32,51,51,40,8,60,124,109,21,92,5,6,5,368,61
16-Sep,150,198,26,10,256,63,317,186,106,81,59,35,59,54,42,10,86,123,97,17,87,5,5,5,438,73
16-Oct,143,196,25,7,169,60,642,246,110,51,43,40,68,60,54,11,97,130,120,17,95,5,6,5,263,56
16-Nov,153,195,27,12,210,137,1338,394,158,63,55,40,55,54,57,21,106,124,133,22,92,6,6,6,306,58
16-Dec,142,195,27,11,188,165,1410,356,151,53,56,49,59,64,62,32,59,114,130,19,92,5,5,6,375,73
17-Jan,131,192,18,6,107,66,661,231,92,29,44,49,72,71,64,21,28,116,120,17,95,5,5,5,433,81
17-Feb,140,193,22,5,126,61,297,179,80,41,42,44,66,66,60,17,21,116,125,18,96,5,5,5,252,57
17-Mar,182,195,29,8,240,75,361,166,111,80,54,40,54,59,56,16,35,111,115,16,95,5,5,6,295,64
17-Apr,118,198,24,8,279,83,312,154,93,113,58,29,44,45,41,8,56,127,122,18,99,5,5,5,376,78
17-May,162,199,28,12,369,78,411,138,134,152,77,27,41,42,37,6,12,128,123,19,99,4,4,5,420,98
